scenario,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
raw,1.882,5.199,5.561,0.1256,0.0744,0.1490
combined,0.241,0.627,0.469,0.0670,0.0703,0.1508
bosch,0.032,0.024,0.027,0.0028,0.0050,0.0031
